gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,actual_churn,predicted_churn,churn_probability,error_type,tenure_band,monthly_charges_band,total_charges_band
Female,0,Yes,No,64,No,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,Two year,No,Electronic check,47.85,3147.5,1,0,0.013910083507887906,False Negative,49+ months,Medium ($35-$70),$1500-$3500
Male,0,No,No,32,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),108.15,3432.9,1,0,0.36558560783750604,False Negative,25-48 months,Very High ($90+),$1500-$3500
Female,0,Yes,Yes,39,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,89.55,3474.45,1,0,0.18710166187243477,False Negative,25-48 months,High ($70-$90),$1500-$3500
Female,0,No,No,29,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,30.6,856.35,1,0,0.2934121724475552,False Negative,25-48 months,Low ($0-$35),$500-$1500
Female,1,Yes,No,58,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),105.5,6205.5,1,0,0.13309489782739953,False Negative,49+ months,Very High ($90+),$3500+
Male,0,Yes,Yes,31,No,No phone service,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),35.4,1077.5,1,0,0.08112270075196508,False Negative,25-48 months,Medium ($35-$70),$500-$1500
Male,0,Yes,No,66,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),106.05,6981.35,1,0,0.08909323096910104,False Negative,49+ months,Very High ($90+),$3500+
Male,0,No,No,2,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),62.05,118.3,1,0,0.42986278394454414,False Negative,0-6 months,Medium ($35-$70),$0-$500
Female,0,No,No,38,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),84.25,3264.5,1,0,0.23084863023749824,False Negative,25-48 months,High ($70-$90),$1500-$3500
Female,1,No,No,60,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,106.0,6441.4,1,0,0.3401419856776771,False Negative,49+ months,Very High ($90+),$3500+
