gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,actual_churn,predicted_churn,churn_probability,error_type,tenure_band,monthly_charges_band,total_charges_band
Female,0,No,Yes,12,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.3,1275.65,0,1,0.695195006683545,False Positive,7-12 months,Very High ($90+),$500-$1500
Male,1,Yes,No,28,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.8,2998.0,0,1,0.6371839967766465,False Positive,25-48 months,Very High ($90+),$1500-$3500
Female,0,No,No,12,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.6,1017.35,0,1,0.6219365145761949,False Positive,7-12 months,High ($70-$90),$500-$1500
Female,0,No,No,24,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.15,2494.65,0,1,0.6828444551528097,False Positive,13-24 months,Very High ($90+),$1500-$3500
Male,0,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),69.95,69.95,0,1,0.5226768673680866,False Positive,0-6 months,Medium ($35-$70),$0-$500
Female,1,No,No,8,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,87.1,713.6,0,1,0.7335490681797955,False Positive,7-12 months,High ($70-$90),$500-$1500
Male,1,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,74.3,74.3,0,1,0.7148307287130242,False Positive,0-6 months,High ($70-$90),$0-$500
Male,0,No,No,26,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,98.65,2537.0,0,1,0.5793666462793634,False Positive,25-48 months,Very High ($90+),$1500-$3500
Male,0,No,No,10,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.1,865.1,0,1,0.5647142747098085,False Positive,7-12 months,Very High ($90+),$500-$1500
Female,0,No,No,25,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,84.6,2088.05,0,1,0.5146260214606193,False Positive,25-48 months,High ($70-$90),$1500-$3500
Male,0,No,No,6,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,494.95,0,1,0.5475431436608432,False Positive,0-6 months,High ($70-$90),$0-$500
Female,0,No,No,1,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,50.1,50.1,0,1,0.571013581235315,False Positive,0-6 months,Medium ($35-$70),$0-$500
Female,0,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.4,80.95,0,1,0.5068588116238797,False Positive,0-6 months,Medium ($35-$70),$0-$500
Male,0,No,No,14,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,76.45,1117.55,0,1,0.5239338319887926,False Positive,13-24 months,High ($70-$90),$500-$1500
Male,0,No,No,22,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,83.05,1799.3,0,1,0.5359695602672663,False Positive,13-24 months,High ($70-$90),$1500-$3500
Female,0,Yes,No,2,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,80.15,194.55,0,1,0.5367963888641016,False Positive,0-6 months,High ($70-$90),$0-$500
Female,0,Yes,Yes,5,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.85,356.1,0,1,0.659797315521832,False Positive,0-6 months,High ($70-$90),$0-$500
Female,0,No,No,3,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,95.4,293.15,0,1,0.6765625424394565,False Positive,0-6 months,Very High ($90+),$0-$500
Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,84.6,84.6,0,1,0.7946399326541337,False Positive,0-6 months,High ($70-$90),$0-$500
Male,0,No,No,24,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,89.55,2187.15,0,1,0.5464210234409537,False Positive,13-24 months,High ($70-$90),$1500-$3500
Female,0,Yes,No,2,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,90.35,190.5,0,1,0.5517662657332737,False Positive,0-6 months,Very High ($90+),$0-$500
Male,0,Yes,No,14,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,82.65,1185.0,0,1,0.6211762141559178,False Positive,13-24 months,High ($70-$90),$500-$1500
Male,1,Yes,No,16,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),85.05,1391.15,0,1,0.645557121078474,False Positive,13-24 months,High ($70-$90),$500-$1500
Male,1,No,No,7,No,No phone service,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,44.4,265.8,0,1,0.5976046092694993,False Positive,7-12 months,Medium ($35-$70),$0-$500
Female,0,Yes,Yes,10,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,85.95,858.6,0,1,0.5594865584609523,False Positive,7-12 months,High ($70-$90),$500-$1500
Female,0,Yes,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.0,45.0,0,1,0.5079507586282241,False Positive,0-6 months,Medium ($35-$70),$0-$500
Female,1,Yes,No,3,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.6,239.05,0,1,0.6285412995683943,False Positive,0-6 months,High ($70-$90),$0-$500
Female,0,No,No,7,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,69.9,497.3,0,1,0.5401847190776586,False Positive,7-12 months,Medium ($35-$70),$0-$500
